"d [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainLHCP) []","dB(RealizedGainRHCP) []"
1.727,0.413,-180,101,-17.036570478506,-18.691664616827
1.727,0.413,-180,102,-17.1444701768909,-18.726442083527
1.727,0.413,-180,103,-17.2527281528687,-18.7660329647523
1.727,0.413,-180,104,-17.3616197872835,-18.810490282923
1.727,0.413,-180,105,-17.471422207473,-18.8598632195553
1.727,0.413,-180,106,-17.5824141302694,-18.9141949034578
1.727,0.413,-180,107,-17.6948757774258,-18.9735198102839
1.727,0.413,-180,108,-17.809088858162,-19.0378607141149
1.727,0.413,-180,109,-17.9253366139116,-19.1072251242145
1.727,0.413,-180,110,-18.0439039208675,-19.1816011324953
1.727,0.413,-180,111,-18.1650774465271,-19.2609525900785
1.727,0.413,-180,112,-18.2891458571133,-19.3452135254297
1.727,0.413,-180,113,-18.4164000734594,-19.4342817130854
1.727,0.413,-180,114,-18.5471335736807,-19.5280113026767
1.727,0.413,-180,115,-18.6816427417014,-19.6262044252027
1.727,0.413,-180,116,-18.8202272614477,-19.7286017105577
1.727,0.413,-180,117,-18.9631905572599,-19.8348716814865
1.727,0.413,-180,118,-19.1108402818065,-19.9445990399085
1.727,0.413,-180,119,-19.2634888535195,-20.0572719385988
1.727,0.413,-180,120,-19.4214540462987,-20.1722684422382
1.727,0.413,-180,121,-19.5850596349794,-20.2888425349199
1.727,0.413,-180,122,-19.7546361008231,-20.4061102335039
1.727,0.413,-180,123,-19.9305214020862,-20.5230366218408
1.727,0.413,-180,124,-20.1130618155705,-20.63842492733
1.727,0.413,-180,125,-20.302612855963,-20.7509091046414
1.727,0.413,-180,126,-20.4995402807652,-20.8589517403881
1.727,0.413,-180,127,-20.7042211896964,-20.9608493922876
1.727,0.413,-180,128,-20.9170452286653,-21.0547476445272
1.727,0.413,-180,129,-21.1384159097517,-21.1386680894142
1.727,0.413,-180,130,-21.3687520601556,-21.2105490119199
1.727,0.413,-180,131,-21.6084894147749,-21.268300649533
1.727,0.413,-180,132,-21.8580823689868,-21.3098744720883
1.727,0.413,-180,133,-22.1180059103681,-21.333344030525
1.727,0.413,-180,134,-22.3887577504991,-21.3369927688641
1.727,0.413,-180,135,-22.6708606806859,-21.3194021533931
1.727,0.413,-180,136,-22.9648651784031,-21.2795320351451
1.727,0.413,-180,137,-23.2713522944936,-21.2167848092857
1.727,0.413,-180,138,-23.5909368546199,-21.1310459806473
1.727,0.413,-180,139,-23.9242710120494,-21.0226961808746
1.727,0.413,-180,140,-24.2720481924156,-20.8925931227486
1.727,0.413,-180,141,-24.6350074743224,-20.7420257344702
1.727,0.413,-180,142,-25.0139384520996,-20.5726460057369
1.727,0.413,-180,143,-25.4096866278873,-20.3863862579019
1.727,0.413,-180,144,-25.8231593783327,-20.1853703088882
1.727,0.413,-180,145,-26.2553325346036,-19.9718264040922
1.727,0.413,-180,146,-26.7072576001853,-19.7480081870384
1.727,0.413,-180,147,-27.1800696043593,-19.5161278843828
1.727,0.413,-180,148,-27.6749955430825,-19.2783037517491
1.727,0.413,-180,149,-28.1933632817887,-19.0365220124112
1.727,0.413,-180,150,-28.736610668538,-18.7926121963401
1.727,0.413,-180,151,-29.3062944028075,-18.5482339826741
1.727,0.413,-180,152,-29.9040978806147,-18.3048732963004
1.727,0.413,-180,153,-30.5318367202735,-18.0638453945704
1.727,0.413,-180,154,-31.1914598533013,-17.8263028822657
1.727,0.413,-180,155,-31.885042764865,-17.5932469081121
1.727,0.413,-180,156,-32.614767408033,-17.3655401475897
1.727,0.413,-180,157,-33.3828800586589,-17.1439205147663
1.727,0.413,-180,158,-34.1916132535514,-16.9290148430088
1.727,0.413,-180,159,-35.0430499820826,-16.7213520194926
1.727,0.413,-180,160,-35.9388961645777,-16.5213752505779
1.727,0.413,-180,161,-36.8801097400957,-16.3294532792673
1.727,0.413,-180,162,-37.8663109695002,-16.1458904796113
1.727,0.413,-180,163,-38.8948726719171,-15.9709358241504
1.727,0.413,-180,164,-39.9595775527649,-15.8047907667996
1.727,0.413,-180,165,-41.0487794601773,-15.6476161114439
1.727,0.413,-180,166,-42.143220161566,-15.4995379511618
1.727,0.413,-180,167,-43.2141966151929,-15.3606527685061
1.727,0.413,-180,168,-44.2237233499758,-15.2310317867189
1.727,0.413,-180,169,-45.129186348911,-15.110724657388
1.727,0.413,-180,170,-45.8940774562439,-14.9997625634574
1.727,0.413,-180,171,-46.5020806813088,-14.898160808789
1.727,0.413,-180,172,-46.9665907040674,-14.8059209573768
1.727,0.413,-180,173,-47.3288708385994,-14.7230325772987
1.727,0.413,-180,174,-47.6467820626805,-14.6494746368534
1.727,0.413,-180,175,-47.9825790387367,-14.5852165932162
1.727,0.413,-180,176,-48.3962752928504,-14.5302192074328
1.727,0.413,-180,177,-48.9455963431463,-14.484435113666
1.727,0.413,-180,178,-49.6906204260064,-14.4478091653019
1.727,0.413,-180,179,-50.7008477670063,-14.420278575765
1.727,0.413,-180,180,-52.0601142202717,-14.4017728676497
1.727,0.413,-180,181,-53.8444127439408,-14.3922136399944
1.727,0.413,-180,182,-55.927922914014,-14.391514160176
1.727,0.413,-180,183,-57.1635641513346,-14.3995787839454
1.727,0.413,-180,184,-55.6507287997024,-14.416302204555
1.727,0.413,-180,185,-52.5795078649112,-14.4415685297379
1.727,0.413,-180,186,-49.6057878392593,-14.4752501835112
1.727,0.413,-180,187,-47.0556144441624,-14.5172066284367
1.727,0.413,-180,188,-44.8800153184782,-14.5672829031496
1.727,0.413,-180,189,-42.9960366255024,-14.6253079697622
1.727,0.413,-180,190,-41.3379786843362,-14.6910928663109
1.727,0.413,-180,191,-39.8582946461983,-14.7644286609058
1.727,0.413,-180,192,-38.5226499280192,-14.8450842069085
1.727,0.413,-180,193,-37.3057907790467,-14.9328037025522
1.727,0.413,-180,194,-36.1887159146459,-15.0273040642699
1.727,0.413,-180,195,-35.1568065858346,-15.1282721309565
1.727,0.413,-180,196,-34.1985837962335,-15.2353617268522
1.727,0.413,-180,197,-33.3048677236869,-15.3481906240965
1.727,0.413,-180,198,-32.4681971187043,-15.466337462624
1.727,0.413,-180,199,-31.6824196687068,-15.589338705226
1.727,0.413,-180,200,-30.9423970768331,-15.7166857293947
1.727,0.413,-180,201,-30.243788698722,-15.8478221848104
1.727,0.413,-180,202,-29.5828900438708,-15.9821417754327
1.727,0.413,-180,203,-28.9565103081458,-16.118986656925
1.727,0.413,-180,204,-28.3618781539099,-16.2576466716319
1.727,0.413,-180,205,-27.7965682603423,-16.3973596716734
1.727,0.413,-180,206,-27.2584433709786,-16.5373132019997
1.727,0.413,-180,207,-26.7456080612556,-16.67664782453
1.727,0.413,-180,208,-26.2563714805729,-16.8144623559606
1.727,0.413,-180,209,-25.7892170461064,-16.9498212592519
1.727,0.413,-180,210,-25.3427775792324,-17.0817643663317
1.727,0.413,-180,211,-24.9158147454019,-17.2093190127742
1.727,0.413,-180,212,-24.5072019281928,-17.3315145326515
1.727,0.413,-180,213,-24.1159098674733,-17.4473988962819
1.727,0.413,-180,214,-23.7409945402754,-17.5560570838773
1.727,0.413,-180,215,-23.3815868750704,-17.6566305891397
1.727,0.413,-180,216,-23.0368839754845,-17.7483372597177
1.727,0.413,-180,217,-22.7061415950508,-17.8304905312207
1.727,0.413,-180,218,-22.3886676554002,-17.9025170239882
1.727,0.413,-180,219,-22.083816639959,-17.9639714688594
1.727,0.413,-180,220,-21.7909847264429,-18.014548022749
1.727,0.413,-180,221,-21.5096055461635,-18.0540872269894
1.727,0.413,-180,222,-21.2391464778875,-18.0825781364537
1.727,0.413,-180,223,-20.9791053998089,-18.1001554770848
1.727,0.413,-180,224,-20.7290078359577,-18.1070920358569
1.727,0.413,-180,225,-20.4884044437159,-18.1037868096196
1.727,0.413,-180,226,-20.2568687975361,-18.0907497012256
1.727,0.413,-180,227,-20.0339954308539,-18.0685837266726
1.727,0.413,-180,228,-19.8193981038327,-18.0379657736712
1.727,0.413,-180,229,-19.6127082692405,-17.9996269326709
1.727,0.413,-180,230,-19.4135737125906,-17.954333320821
1.727,0.413,-180,231,-19.2216573458555,-17.9028681605365
1.727,0.413,-180,232,-19.0366361366849,-17.8460156832411
1.727,0.413,-180,233,-18.8582001572343,-17.7845472300846
1.727,0.413,-180,234,-18.6860517385119,-17.7192097350298
1.727,0.413,-180,235,-18.5199047176392,-17.6507166155682
1.727,0.413,-180,236,-18.3594837666616,-17.5797409699867
1.727,0.413,-180,237,-18.2045237925649,-17.50691088959
1.727,0.413,-180,238,-18.0547693990056,-17.4328066374465
1.727,0.413,-180,239,-17.9099744009717,-17.3579594173264
1.727,0.413,-180,240,-17.7699013841816,-17.282851451539
1.727,0.413,-180,241,-17.6343213015339,-17.2079170981593
1.727,0.413,-180,242,-17.5030130993537,-17.133544760989
1.727,0.413,-180,243,-17.375763366562,-17.0600793747583
1.727,0.413,-180,244,-17.2523660002443,-16.9878252798253
1.727,0.413,-180,245,-17.132621881422,-16.9170493322764
1.727,0.413,-180,246,-17.0163385551501,-16.847984125087
1.727,0.413,-180,247,-16.903329909394,-16.7808312227885
1.727,0.413,-180,248,-16.7934158474772,-16.7157643354158
1.727,0.413,-180,249,-16.6864219492624,-16.6529323772423
1.727,0.413,-180,250,-16.5821791166265,-16.5924623721047
1.727,0.413,-180,251,-16.4805231992325,-16.5344621802747
1.727,0.413,-180,252,-16.3812945970933,-16.4790230322193
1.727,0.413,-180,253,-16.2843378369614,-16.4262218626214
1.727,0.413,-180,254,-16.1895011201844,-16.3761234440886
1.727,0.413,-180,255,-16.0966358403311,-16.3287823244289
1.727,0.413,-180,256,-16.0055960696293,-16.2842445745346
1.727,0.413,-180,257,-15.9162380140639,-16.2425493560664
1.727,0.413,-180,258,-15.8284194378725,-16.203730319496
1.727,0.413,-180,259,-15.7419990591398,-16.1678168438405
1.727,0.413,-180,260,-15.656835919247,-16.1348351297518
1.727,0.413,-180,261,-15.5727887300706,-16.1048091576347
1.727,0.413,-180,262,-15.4897152040512,-16.077761522249
1.727,0.413,-180,263,-15.4074713735707,-16.05371415488
1.727,0.413,-180,264,-15.325910907473,-16.0326889436824
1.727,0.413,-180,265,-15.2448844340436,-16.0147082622724
1.727,0.413,-180,266,-15.1642388812993,-15.9997954160722
1.727,0.413,-180,267,-15.0838168470318,-15.9879750153356
1.727,0.413,-180,268,-15.0034560126447,-15.9792732832084
1.727,0.413,-180,269,-14.9229886164113,-15.9737183066205
1.727,0.413,-180,270,-14.8422410032839,-15.9713402372629
1.727,0.413,-180,271,-14.761033269761,-15.9721714493906
1.727,0.413,-180,272,-14.6791790234725,-15.9762466607004
1.727,0.413,-180,273,-14.5964852779856,-15.9836030220698
1.727,0.413,-180,274,-14.5127525037576,-15.9942801815063
1.727,0.413,-180,275,-14.4277748560368,-16.0083203272466
1.727,0.413,-180,276,-14.3413405997149,-16.0257682145591
1.727,0.413,-180,277,-14.253232749525,-16.0466711804455
1.727,0.413,-180,278,-14.1632299414353,-16.0710791501007
1.727,0.413,-180,279,-14.0711075474941,-16.0990446386761
1.727,0.413,-180,280,-13.9766390416648,-16.1306227516044
1.727,0.413,-180,281,-13.879597618314,-16.1658711864746
